LOCP_CHV_IDE;LOCP_COD_USUARIO;LOCP_DAT_INCLUSAO;LOCP_DSC_OPERACAO;LOCP_COD_SISTEMA;LOCP_NOM_TABELA;LOCP_CHV_IDE_TABELA;LOCP_TXT_REGISTRADO;LOCP_COD_CASO_USO;LOCP_COD_NIVEL;LOCP_END_IP_REQ
254942;Cliente_44;16/02/2018 16:59;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;26-0210050091-S-Vd.Pgto.Antecipado 210050091 foi gravado(a);ENVIAR PEDIDO;900;unknow
254947;Cliente_44;16/02/2018 16:59;Envio de Email do SCP;ABC;;;Notificação da OV '0210050091' foi enviada para o email 'XXXXXXXXXX'.;NOTIFICAR PEDIDO;800;unknow
254948;Cliente_40;16/02/2018 17:39;Não foi possível precificar o produto.;ABC;;;[Cliente_40|Cliente_40|Z700|2018-02-17|1000316|1.000||CIF|5266|-|Item sem negociação vigente];PRECIFICAR;900;unknow
254949;Cliente_40;16/02/2018 17:40;Não foi possível precificar o produto.;ABC;;;[Cliente_40|Cliente_40|Z700|2018-02-17|1000316|1.000||CIF|5266|-|Item sem negociação vigente];PRECIFICAR;900;unknow
254950;Cliente_40;16/02/2018 17:42;Não foi possível precificar o produto.;ABC;;;[Cliente_40|Cliente_40|Z700|2018-02-17|1000316|1.000||CIF|5266|-|Item sem negociação vigente];PRECIFICAR;900;unknow
254951;Cliente_40;16/02/2018 18:03;Não foi possível precificar o produto.;ABC;;;[Cliente_40|Cliente_40|Z700|2018-02-17|1000345|1.000||CIF|5266|-|Item sem negociação vigente];PRECIFICAR;900;unknow
254952;Cliente_44;19/02/2018 09:34;27-INCLUSAO-Inicio chamada Ws-client -> Process Server;ABC;;;Tip=null|Num=|Orig=12||Ems=000000Cliente_44|Rec=000000Cliente_44|DtE=20/02/2018|TOV=Z70S|Its=1#Pos=10#Prd=000000000001000088|Qtd=5000|DtE=20/02/2018|Bas=5370|Prz=Y001|Mod=ZSF|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254954;Cliente_44;19/02/2018 09:34;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;27-0210050100-S-Vd.Pgto.Antecipado 210050100 foi gravado(a);ENVIAR PEDIDO;900;unknow
254955;Cliente_44;19/02/2018 09:34;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;27-0210050100-A-Modificação da data fat.: data de faturamento será redeterminada;ENVIAR PEDIDO;900;unknow
254956;Cliente_44;19/02/2018 09:34;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;27-0210050100-A-Frete será determinado novamente;ENVIAR PEDIDO;900;unknow
254957;Cliente_44;19/02/2018 09:34;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;27-0210050100-A-Verificação 1 do usuário para crédito sem êxito;ENVIAR PEDIDO;900;unknow
254953;Cliente_44;19/02/2018 09:34;27-INCLUSAO-Fim chamada Ws-client -> Process Server - 17.850 (ms) de duração;ABC;;;Tip=null|Num=0210050100|Orig=12||Ems=000000Cliente_44|Rec=000000Cliente_44|DtE=20/02/2018|TOV=Z70S|Its=1#Pos=10#Prd=000000000001000088|Qtd=5000|DtE=20/02/2018|Bas=5370|Prz=Y001|Mod=ZSF|Ctr=null|Amo=|B2B=/#;ENVIAR PEDIDO;800;unknow
254958;Cliente_44;19/02/2018 09:34;Mensagem enviada pelo serviço que não será traduzida.;ABC;;;27-0210050100-A-Item 10 - 01.000.088 - XXXXXX;ENVIAR PEDIDO;900;unknow
254959;Cliente_44;19/02/2018 09:34;Envio de Email do SCP;ABC;;;Notificação da OV '0210050100' foi enviada para o email 'XXXXXXXXXX'.;NOTIFICAR PEDIDO;800;unknow
254961;Cliente_44;19/02/2018 09:36;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_44|Rec=Cliente_44|OVs=0210050100;ENVIAR PEDIDO;800;unknow
254963;Cliente_44;19/02/2018 09:41;Atenção! Ordem de venda semelhante encontrada.;ABC;;;Ems=Cliente_44|Rec=Cliente_44|OVs=0210050100;ENVIAR PEDIDO;800;unknow
