CLIENTE,DATA,PRODUTO,QUANTIDADE
Cliente_39,06/03/2018 10:46,1000078,45000
Cliente_39,06/03/2018 10:47,1000088,45000
Cliente_39,06/03/2018 10:47,1000078,45000
Cliente_39,06/03/2018 10:49,1000088,45000
Cliente_39,06/03/2018 10:49,1000078,45000
Cliente_39,06/03/2018 10:52,1000088,150000
Cliente_39,06/03/2018 10:53,1000088,500000
Cliente_39,06/03/2018 10:53,1000078,0
Cliente_39,06/03/2018 10:53,1000078,150000
Cliente_39,06/03/2018 10:54,1000209,15000
Cliente_37,06/03/2018 11:19,1000088,300
Cliente_37,06/03/2018 11:19,1000088,300
Cliente_18,06/03/2018 11:36,1000209,50000
Cliente_18,06/03/2018 11:37,1000209,50000
Cliente_18,06/03/2018 11:39,1000209,50000
Cliente_18,06/03/2018 11:40,1000209,50000
Cliente_18,06/03/2018 11:40,1000209,50000
Cliente_37,06/03/2018 14:15,1000088,300
Cliente_37,06/03/2018 14:17,1000088,300
Cliente_37,06/03/2018 14:28,1000088,300
Cliente_37,06/03/2018 14:33,1000088,300
Cliente_37,06/03/2018 14:34,1000088,300
Cliente_37,06/03/2018 15:26,1000088,300
Cliente_37,06/03/2018 15:36,1000088,300
Cliente_37,06/03/2018 15:39,1000088,300
Cliente_37,06/03/2018 15:39,1000088,300
Cliente_35,06/03/2018 16:23,1000209,10000
Cliente_35,06/03/2018 16:23,1000088,15000
Cliente_35,06/03/2018 16:23,1000209,10000
Cliente_35,06/03/2018 16:23,1000088,15000
Cliente_35,06/03/2018 16:24,1000209,10000
Cliente_35,06/03/2018 16:24,1000088,15000
Cliente_35,06/03/2018 16:24,1000209,10000
Cliente_35,06/03/2018 16:24,1000088,15000
Cliente_35,06/03/2018 16:24,1000209,10000
Cliente_35,06/03/2018 16:24,1000088,15000
Cliente_37,07/03/2018 09:15,1000088,300
Cliente_37,07/03/2018 09:16,1000088,300
Cliente_18,07/03/2018 09:44,1000088,2000
Cliente_22,07/03/2018 12:46,1000209,5000
Cliente_18,07/03/2018 13:17,1000088,500
Cliente_40,08/03/2018 11:26,1002079,10
Cliente_40,08/03/2018 11:30,1002079,10
Cliente_41,08/03/2018 13:32,1001114,1
Cliente_41,08/03/2018 13:34,1001114,200
Cliente_40,08/03/2018 13:38,1002079,10
Cliente_18,08/03/2018 16:48,1000209,5000
Cliente_22,08/03/2018 16:56,1000209,5000
Cliente_22,08/03/2018 17:31,1000209,5000
Cliente_18,08/03/2018 18:03,1000345,10
Cliente_22,09/03/2018 10:50,1000209,5000
Cliente_37,09/03/2018 11:02,1000088,500
Cliente_18,09/03/2018 11:04,1000088,5000
Cliente_18,09/03/2018 11:07,1000088,5000
Cliente_37,09/03/2018 11:18,1000088,100
Cliente_41,09/03/2018 11:53,1001114,1
Cliente_41,09/03/2018 11:54,1001114,15
Cliente_40,09/03/2018 12:23,1002079,20
Cliente_22,09/03/2018 12:48,1000209,5000
Cliente_22,09/03/2018 12:57,1000209,5000
Cliente_22,09/03/2018 12:59,1000209,5000
Cliente_22,09/03/2018 13:26,1000209,5000
Cliente_22,09/03/2018 13:35,1000209,5000
Cliente_22,09/03/2018 13:36,1000209,5000
Cliente_22,09/03/2018 13:47,1000209,5000
Cliente_22,09/03/2018 14:08,1000209,5000
Cliente_22,09/03/2018 14:18,1000209,5000
Cliente_22,09/03/2018 14:23,1000209,5000
Cliente_18,09/03/2018 14:41,1000209,5000
Cliente_18,09/03/2018 14:44,1000209,10000
Cliente_40,09/03/2018 14:50,1002079,15
Cliente_15,09/03/2018 14:57,1002079,10
Cliente_15,09/03/2018 15:03,1002079,10
Cliente_45,09/03/2018 16:32,1000088,5000
Cliente_21,09/03/2018 16:42,1000118,5000
